date,center_id,weather_alert,temperature
2021-01-01,C001,0,89.7
2021-01-01,C002,0,86.0
2021-01-01,C003,1,80.3
2021-01-02,C001,0,51.9
2021-01-02,C002,0,79.7
2021-01-02,C003,0,42.9
2021-01-03,C001,0,42.8
2021-01-03,C002,0,63.5
2021-01-03,C003,0,62.7
2021-01-04,C001,0,62.7
2021-01-04,C002,0,51.6
2021-01-04,C003,0,42.0
2021-01-05,C001,0,81.7
2021-01-05,C002,0,69.0
2021-01-05,C003,0,64.7
2021-01-06,C001,1,83.1
2021-01-06,C002,0,42.0
2021-01-06,C003,0,38.4
2021-01-07,C001,0,45.9
2021-01-07,C002,0,51.5
2021-01-07,C003,0,77.0
2021-01-08,C001,0,46.2
2021-01-08,C002,0,41.0
2021-01-08,C003,0,37.6
2021-01-09,C001,0,62.1
2021-01-09,C002,0,71.6
2021-01-09,C003,0,71.5
2021-01-10,C001,1,43.9
2021-01-10,C002,0,32.0
2021-01-10,C003,0,59.5
2021-01-11,C001,0,60.4
2021-01-11,C002,0,79.5
2021-01-11,C003,0,66.2
2021-01-12,C001,1,67.1
2021-01-12,C002,0,79.0
2021-01-12,C003,0,63.2
2021-01-13,C001,1,45.2
2021-01-13,C002,0,89.3
2021-01-13,C003,0,59.9
2021-01-14,C001,0,47.4
2021-01-14,C002,1,73.4
2021-01-14,C003,0,77.8
2021-01-15,C001,0,57.2
2021-01-15,C002,0,67.3
2021-01-15,C003,0,39.5
2021-01-16,C001,0,64.5
2021-01-16,C002,1,61.4
2021-01-16,C003,0,67.9
2021-01-17,C001,0,63.1
2021-01-17,C002,0,53.5
2021-01-17,C003,0,55.3
2021-01-18,C001,1,64.9
2021-01-18,C002,0,77.9
2021-01-18,C003,0,59.1
2021-01-19,C001,1,23.7
2021-01-19,C002,0,63.8
2021-01-19,C003,0,41.4
2021-01-20,C001,0,47.2
2021-01-20,C002,1,42.1
2021-01-20,C003,1,48.6
2021-01-21,C001,0,66.1
2021-01-21,C002,0,64.0
2021-01-21,C003,0,63.1
2021-01-22,C001,0,30.3
2021-01-22,C002,0,76.0
2021-01-22,C003,0,85.2
2021-01-23,C001,0,55.1
2021-01-23,C002,1,47.8
2021-01-23,C003,0,66.4
2021-01-24,C001,0,34.8
2021-01-24,C002,0,20.8
2021-01-24,C003,0,42.1
2021-01-25,C001,0,76.3
2021-01-25,C002,1,79.2
2021-01-25,C003,0,76.8
2021-01-26,C001,0,76.2
2021-01-26,C002,0,55.8
2021-01-26,C003,0,87.7
2021-01-27,C001,1,51.7
2021-01-27,C002,0,52.2
2021-01-27,C003,0,71.0
2021-01-28,C001,0,43.3
2021-01-28,C002,0,34.1
2021-01-28,C003,0,52.5
2021-01-29,C001,0,84.9
2021-01-29,C002,0,47.3
2021-01-29,C003,0,32.9
2021-01-30,C001,0,50.2
2021-01-30,C002,0,54.6
2021-01-30,C003,0,58.1
2021-01-31,C001,0,54.3
2021-01-31,C002,0,64.7
2021-01-31,C003,0,47.6
2021-02-01,C001,0,46.5
2021-02-01,C002,0,37.2
2021-02-01,C003,0,69.9
2021-02-02,C001,0,76.2
2021-02-02,C002,0,80.8
2021-02-02,C003,0,57.1
2021-02-03,C001,1,88.6
2021-02-03,C002,0,80.0
2021-02-03,C003,0,58.4
2021-02-04,C001,1,68.9
2021-02-04,C002,0,40.9
2021-02-04,C003,0,63.0
2021-02-05,C001,0,44.3
2021-02-05,C002,0,42.9
2021-02-05,C003,0,35.8
2021-02-06,C001,0,52.7
2021-02-06,C002,1,60.5
2021-02-06,C003,0,44.6
2021-02-07,C001,0,44.6
2021-02-07,C002,0,64.0
2021-02-07,C003,0,53.1
2021-02-08,C001,0,52.7
2021-02-08,C002,0,54.0
2021-02-08,C003,0,12.6
2021-02-09,C001,0,66.3
2021-02-09,C002,0,59.4
2021-02-09,C003,0,28.2
2021-02-10,C001,0,74.7
2021-02-10,C002,0,75.7
2021-02-10,C003,0,57.2
2021-02-11,C001,0,41.5
2021-02-11,C002,0,22.4
2021-02-11,C003,0,78.6
2021-02-12,C001,0,65.6
2021-02-12,C002,0,70.7
2021-02-12,C003,0,73.5
2021-02-13,C001,0,73.2
2021-02-13,C002,0,60.2
2021-02-13,C003,0,75.6
2021-02-14,C001,0,67.9
2021-02-14,C002,0,82.6
2021-02-14,C003,0,90.1
2021-02-15,C001,1,68.7
2021-02-15,C002,0,55.4
2021-02-15,C003,0,68.0
2021-02-16,C001,0,71.3
2021-02-16,C002,0,74.5
2021-02-16,C003,1,68.9
2021-02-17,C001,0,62.3
2021-02-17,C002,0,57.2
2021-02-17,C003,1,53.1
2021-02-18,C001,0,86.3
2021-02-18,C002,0,56.7
2021-02-18,C003,0,56.3
2021-02-19,C001,0,41.7
2021-02-19,C002,0,38.1
2021-02-19,C003,1,57.1
2021-02-20,C001,0,67.5
2021-02-20,C002,1,77.0
2021-02-20,C003,0,64.0
2021-02-21,C001,0,52.2
2021-02-21,C002,0,59.3
2021-02-21,C003,0,60.4
2021-02-22,C001,0,64.2
2021-02-22,C002,0,50.1
2021-02-22,C003,0,40.5
2021-02-23,C001,1,52.3
2021-02-23,C002,0,63.6
2021-02-23,C003,0,84.0
2021-02-24,C001,0,48.1
2021-02-24,C002,0,76.7
2021-02-24,C003,0,53.8
2021-02-25,C001,0,76.1
2021-02-25,C002,0,86.0
2021-02-25,C003,0,33.8
2021-02-26,C001,0,56.9
2021-02-26,C002,0,76.2
2021-02-26,C003,0,75.7
2021-02-27,C001,0,50.1
2021-02-27,C002,0,44.0
2021-02-27,C003,0,53.6
2021-02-28,C001,0,53.8
2021-02-28,C002,1,45.0
2021-02-28,C003,0,50.8
2021-03-01,C001,0,53.8
2021-03-01,C002,0,75.2
2021-03-01,C003,0,46.6
2021-03-02,C001,0,86.9
2021-03-02,C002,1,68.3
2021-03-02,C003,1,69.0
2021-03-03,C001,0,64.6
2021-03-03,C002,0,33.4
2021-03-03,C003,0,74.0
2021-03-04,C001,0,56.0
2021-03-04,C002,1,53.0
2021-03-04,C003,0,79.1
2021-03-05,C001,1,69.8
2021-03-05,C002,0,59.0
2021-03-05,C003,0,44.8
2021-03-06,C001,0,67.1
2021-03-06,C002,0,51.9
2021-03-06,C003,0,69.0
2021-03-07,C001,0,70.9
2021-03-07,C002,0,61.6
2021-03-07,C003,0,58.3
2021-03-08,C001,1,87.5
2021-03-08,C002,0,72.7
2021-03-08,C003,1,46.4
2021-03-09,C001,0,40.1
2021-03-09,C002,0,80.8
2021-03-09,C003,1,32.6
2021-03-10,C001,0,43.0
2021-03-10,C002,0,65.0
2021-03-10,C003,0,36.7
2021-03-11,C001,1,42.2
2021-03-11,C002,1,75.4
2021-03-11,C003,0,62.2
2021-03-12,C001,1,57.7
2021-03-12,C002,0,70.5
2021-03-12,C003,0,83.6
2021-03-13,C001,0,49.7
2021-03-13,C002,0,48.2
2021-03-13,C003,0,77.5
2021-03-14,C001,0,66.0
2021-03-14,C002,1,77.8
2021-03-14,C003,0,81.0
2021-03-15,C001,0,44.8
2021-03-15,C002,1,72.1
2021-03-15,C003,0,63.1
2021-03-16,C001,0,77.7
2021-03-16,C002,0,67.8
2021-03-16,C003,1,48.5
2021-03-17,C001,1,34.0
2021-03-17,C002,0,39.6
2021-03-17,C003,0,22.1
2021-03-18,C001,0,40.2
2021-03-18,C002,0,50.8
2021-03-18,C003,0,90.1
2021-03-19,C001,0,67.3
2021-03-19,C002,1,36.4
2021-03-19,C003,1,68.2
2021-03-20,C001,0,50.2
2021-03-20,C002,0,53.8
2021-03-20,C003,0,45.5
2021-03-21,C001,0,48.3
2021-03-21,C002,0,66.6
2021-03-21,C003,0,65.6
2021-03-22,C001,1,51.4
2021-03-22,C002,0,25.9
2021-03-22,C003,0,78.2
2021-03-23,C001,0,54.0
2021-03-23,C002,0,68.2
2021-03-23,C003,0,69.7
2021-03-24,C001,0,93.3
2021-03-24,C002,0,102.5
2021-03-24,C003,0,37.0
2021-03-25,C001,0,71.3
2021-03-25,C002,0,74.8
2021-03-25,C003,0,59.8
2021-03-26,C001,0,43.1
2021-03-26,C002,0,53.0
2021-03-26,C003,0,39.4
2021-03-27,C001,0,40.1
2021-03-27,C002,0,89.4
2021-03-27,C003,0,44.5
2021-03-28,C001,0,84.3
2021-03-28,C002,0,49.8
2021-03-28,C003,0,39.6
2021-03-29,C001,0,61.7
2021-03-29,C002,0,61.8
2021-03-29,C003,0,64.8
2021-03-30,C001,0,51.4
2021-03-30,C002,0,38.5
2021-03-30,C003,0,78.4
2021-03-31,C001,0,88.3
2021-03-31,C002,0,66.8
2021-03-31,C003,1,66.7
2021-04-01,C001,0,80.3
2021-04-01,C002,0,43.2
2021-04-01,C003,1,51.5
2021-04-02,C001,0,51.0
2021-04-02,C002,1,69.2
2021-04-02,C003,1,56.4
2021-04-03,C001,0,50.9
2021-04-03,C002,0,67.5
2021-04-03,C003,0,67.1
2021-04-04,C001,0,35.4
2021-04-04,C002,0,68.0
2021-04-04,C003,1,36.2
2021-04-05,C001,0,83.5
2021-04-05,C002,0,47.8
2021-04-05,C003,1,45.3
2021-04-06,C001,0,56.8
2021-04-06,C002,0,80.1
2021-04-06,C003,0,50.5
2021-04-07,C001,1,64.4
2021-04-07,C002,0,67.6
2021-04-07,C003,0,33.5
2021-04-08,C001,0,75.8
2021-04-08,C002,0,46.0
2021-04-08,C003,0,46.2
2021-04-09,C001,0,77.1
2021-04-09,C002,1,68.8
2021-04-09,C003,0,60.0
2021-04-10,C001,1,54.9
2021-04-10,C002,0,37.3
2021-04-10,C003,0,62.1
2021-04-11,C001,1,39.0
2021-04-11,C002,0,45.6
2021-04-11,C003,1,63.1
2021-04-12,C001,0,49.9
2021-04-12,C002,1,43.9
2021-04-12,C003,0,64.3
2021-04-13,C001,0,70.3
2021-04-13,C002,0,32.9
2021-04-13,C003,0,72.2
2021-04-14,C001,0,62.5
2021-04-14,C002,0,33.7
2021-04-14,C003,0,69.6
2021-04-15,C001,0,79.2
2021-04-15,C002,0,58.0
2021-04-15,C003,0,59.2
2021-04-16,C001,0,51.0
2021-04-16,C002,0,76.1
2021-04-16,C003,0,57.3
2021-04-17,C001,0,52.2
2021-04-17,C002,0,55.7
2021-04-17,C003,0,59.0
2021-04-18,C001,0,60.2
2021-04-18,C002,0,51.6
2021-04-18,C003,0,96.4
2021-04-19,C001,1,88.8
2021-04-19,C002,1,62.0
2021-04-19,C003,0,55.2
2021-04-20,C001,0,58.0
2021-04-20,C002,0,54.3
2021-04-20,C003,0,65.1
2021-04-21,C001,0,51.8
2021-04-21,C002,1,71.2
2021-04-21,C003,0,46.9
2021-04-22,C001,0,48.0
2021-04-22,C002,0,51.4
2021-04-22,C003,0,56.9
2021-04-23,C001,0,29.0
2021-04-23,C002,0,62.3
2021-04-23,C003,0,55.6
2021-04-24,C001,0,55.3
2021-04-24,C002,0,67.5
2021-04-24,C003,0,42.0
2021-04-25,C001,0,68.9
2021-04-25,C002,1,75.8
2021-04-25,C003,0,51.5
2021-04-26,C001,0,48.5
2021-04-26,C002,0,60.9
2021-04-26,C003,0,76.0
2021-04-27,C001,1,34.1
2021-04-27,C002,1,54.4
2021-04-27,C003,0,57.8
2021-04-28,C001,1,67.4
2021-04-28,C002,0,62.3
2021-04-28,C003,0,58.3
2021-04-29,C001,1,68.0
2021-04-29,C002,0,59.8
2021-04-29,C003,1,53.5
2021-04-30,C001,0,73.4
2021-04-30,C002,1,43.0
2021-04-30,C003,0,73.9
2021-05-01,C001,0,78.0
2021-05-01,C002,0,60.8
2021-05-01,C003,0,57.5
2021-05-02,C001,0,54.1
2021-05-02,C002,0,70.9
2021-05-02,C003,0,40.8
2021-05-03,C001,0,57.1
2021-05-03,C002,0,60.6
2021-05-03,C003,0,66.2
2021-05-04,C001,0,69.9
2021-05-04,C002,0,63.7
2021-05-04,C003,0,58.0
2021-05-05,C001,1,68.2
2021-05-05,C002,0,44.7
2021-05-05,C003,0,70.0
2021-05-06,C001,0,68.1
2021-05-06,C002,0,30.5
2021-05-06,C003,0,67.2
2021-05-07,C001,1,49.3
2021-05-07,C002,0,31.7
2021-05-07,C003,0,54.6
2021-05-08,C001,0,67.0
2021-05-08,C002,0,54.5
2021-05-08,C003,0,81.0
2021-05-09,C001,0,65.9
2021-05-09,C002,0,75.7
2021-05-09,C003,0,70.1
2021-05-10,C001,0,48.0
2021-05-10,C002,0,62.1
2021-05-10,C003,0,56.5
2021-05-11,C001,0,50.9
2021-05-11,C002,1,42.7
2021-05-11,C003,0,58.1
2021-05-12,C001,0,69.4
2021-05-12,C002,0,90.6
2021-05-12,C003,1,33.4
2021-05-13,C001,1,69.3
2021-05-13,C002,0,62.1
2021-05-13,C003,0,30.0
2021-05-14,C001,0,59.7
2021-05-14,C002,0,65.2
2021-05-14,C003,0,78.3
2021-05-15,C001,0,48.1
2021-05-15,C002,0,62.4
2021-05-15,C003,0,55.9
2021-05-16,C001,0,68.9
2021-05-16,C002,0,47.6
2021-05-16,C003,0,44.9
2021-05-17,C001,0,62.5
2021-05-17,C002,0,62.3
2021-05-17,C003,0,40.6
2021-05-18,C001,0,57.5
2021-05-18,C002,1,64.6
2021-05-18,C003,0,62.0
2021-05-19,C001,0,61.3
2021-05-19,C002,1,65.1
2021-05-19,C003,0,63.9
2021-05-20,C001,0,6.5
2021-05-20,C002,0,74.5
2021-05-20,C003,0,64.7
2021-05-21,C001,0,53.5
2021-05-21,C002,0,33.1
2021-05-21,C003,1,45.7
2021-05-22,C001,0,64.7
2021-05-22,C002,1,77.5
